Quality Supplement Mfg,,,,,,,
On Hand,,,,,,,
 ,,,,,,,
Part Number,Description,Qty,,Location,Tracking,,
R225,DMAE (Dimethylaminoethanol),1.98,kg,Expired E49,"ExpDate: 2021-12-12

Lot#: 276181202
",,
R326,Fennel Seed Extract 5:1,0.874,kg,Expired E49,"ExpDate: 2021-12-09

Lot#: CXHX-A-832089
",,
R427,Psyllium Husk 85%,260.00,kg,Expired E49,"ExpDate: 2021-09-23

Lot#: CYCQZK-A-05254
",,
R524,Soy Lecithin,4.34,kg,Expired E49,"ExpDate: 2021-12-10

Lot#: CMDDLLZ-E-900141
",,
CS#5079,L-Lysine Monohydrochloride,1.878,kg,Expired E51,"ExpDate: 2021-04-01

Lot#: SBS-5090617
",,
CS#5219,Vitamin K1 (1% Phytonadione),0.046,kg,Expired E51,"ExpDate: 2021-06-24

Lot#: 634376
",,
CS#5227,Phytosterols 90% (Glycine max) (Soy),1.00,kg,Expired E51,"ExpDate: 2021-06-01

Lot#: SBS-5020146
",,
CS#5228,L-Ornithine Mono HCl,2.00,kg,Expired E51,"ExpDate: 2021-01-01

Lot#: SBS-5100731
",,
R023,Fennel Seed Powder,1.795,kg,Expired E51,"ExpDate: 2021-01-06

Lot#: SBS-5080579
",,
R032,Manganese Gluconate 11%,2.945,kg,Expired E51,"ExpDate: 2020-12-01

Lot#: 538679
",,
R043,L-Phenylalanine,5.82,kg,Expired E51,"ExpDate: 2021-07-03

Lot#: 20160308
",,
R066,Folic Acid (Folate) (pure),0.75,kg,Expired E51,"ExpDate: 2020-01-08

Lot#: SBQ-S110967
",,
R067,Dandelion Root Extract 4:1,0.508,kg,Expired E51,"ExpDate: 2020-10-22

Lot#: CO301810025
",,
R090,Wormwood Extract 4:1,2.963,kg,Expired E51,"ExpDate: 2021-09-06

Lot#: WE180907
",,
R1004,PQQ (Pyrroloquinoline Quinone Disodium),0.435,kg,Expired E51,"ExpDate: 2020-12-13

Lot#: M181201
",,
R1041,Hyssop Powder,2.98,kg,Expired E51,"ExpDate: 2020-06-01

Lot#: HP/19-07-115
",,
R1069,Grains of Paradise Powder (Aframomum Melegueta),3.024,kg,Expired E51,"ExpDate: 2021-04-12

Lot#: CTTJ-A-802320
",,
R1084,Epimedium Extract (Horny Goat Weed) 10% Icariin,0.36,kg,Expired E51,"ExpDate: 2021-08-01

Lot#: CYYH-A-04100
",,
R1098,Vitamin K2 MK-7 1% MCC,0.146,kg,Expired E51,"ExpDate: 2021-11-06

Lot#: 20190611
",,
